{'timestamp': 1546762939.883275, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=0.08, load10=2.61, load15=4.1, running=1, procs=511), 'memory/total': Memory(label='total', total=1501952, used=583276, buffer_cache=134504, free=784172, map=53344)}
{'timestamp': 1546762939.888624, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=0.02, load10=2.05, load15=3.58, running=1, procs=513), 'memory/total': Memory(label='total', total=1501952, used=591604, buffer_cache=124956, free=785392, map=54128)}
{'disk/total': Disk(label='sda', io_read=391, bytes_read=2514944, time_spent_read=1.2959999999984575, io_write=6, bytes_write=167936, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=387682, recv_packets=373, recv_errs=0, recv_drop=0, send_bytes=457604, send_packets=388, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=1.6227180527383367, nice=0.0, system=2.231237322515213, idle=77.48478701825557, iowait=18.45841784989858, irq=0.0, softirq=0.2028397565922921), 'cpu/cpu0': CPU(label='cpu0', user=1.6227180527383367, nice=0.0, system=2.231237322515213, idle=77.48478701825557, iowait=18.45841784989858, irq=0.0, softirq=0.2028397565922921), 'disk/sda': Disk(label='sda', io_read=391, bytes_read=2514944, time_spent_read=1.2959999999984575, io_write=6, bytes_write=167936, time_spent_write=0.0), 'timestamp': 1546762944.871604, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=0.07, load10=2.57, load15=4.08, running=2, procs=517), 'memory/total': Memory(label='total', total=1501952, used=587060, buffer_cache=135224, free=779668, map=53408), 'net/ens33': Network(label='ens33', recv_bytes=387682, recv_packets=373, recv_errs=0, recv_drop=0, send_bytes=457604, send_packets=388, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=5, bytes_read=36864, time_spent_read=0.23599999999896681, io_write=6, bytes_write=290816, time_spent_write=0.011999999995168764), 'net/total': Network(label='ens33', recv_bytes=13355, recv_packets=94, recv_errs=0, recv_drop=0, send_bytes=35263, send_packets=107, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=93.6, nice=0.0, system=6.4, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=93.6, nice=0.0, system=6.4, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=5, bytes_read=36864, time_spent_read=0.23599999999896681, io_write=6, bytes_write=290816, time_spent_write=0.011999999995168764), 'timestamp': 1546762999.786776, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=6.64, load10=3.92, load15=4.45, running=16, procs=689), 'memory/total': Memory(label='total', total=1501952, used=975368, buffer_cache=143940, free=382644, map=64380), 'net/ens33': Network(label='ens33', recv_bytes=13355, recv_packets=94, recv_errs=0, recv_drop=0, send_bytes=35263, send_packets=107, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=7, bytes_write=397312, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=16207, recv_packets=57, recv_errs=0, recv_drop=0, send_bytes=11897, send_packets=71, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=94.6, nice=0.0, system=5.4, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=94.6, nice=0.0, system=5.4, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=7, bytes_write=397312, time_spent_write=0.0), 'timestamp': 1546762999.957417, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=8.18, load10=3.86, load15=4.1, running=19, procs=649), 'memory/total': Memory(label='total', total=1501952, used=1008280, buffer_cache=127012, free=366660, map=65068), 'net/ens33': Network(label='ens33', recv_bytes=16207, recv_packets=57, recv_errs=0, recv_drop=0, send_bytes=11897, send_packets=71, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=27, bytes_read=184320, time_spent_read=0.4600000000009459, io_write=6, bytes_write=458752, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=15752, recv_packets=101, recv_errs=0, recv_drop=0, send_bytes=33315, send_packets=99, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=95.00998003992017, nice=0.0, system=4.790419161676646, idle=0.0, iowait=0.0, irq=0.0, softirq=0.1996007984031936), 'cpu/cpu0': CPU(label='cpu0', user=95.00998003992017, nice=0.0, system=4.790419161676646, idle=0.0, iowait=0.0, irq=0.0, softirq=0.1996007984031936), 'disk/sda': Disk(label='sda', io_read=27, bytes_read=184320, time_spent_read=0.4600000000009459, io_write=6, bytes_write=458752, time_spent_write=0.0), 'timestamp': 1546763004.754254, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=7.15, load10=4.07, load15=4.49, running=15, procs=710), 'memory/total': Memory(label='total', total=1501952, used=1063776, buffer_cache=144212, free=293964, map=64428), 'net/ens33': Network(label='ens33', recv_bytes=15752, recv_packets=101, recv_errs=0, recv_drop=0, send_bytes=33315, send_packets=99, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=2, bytes_read=24576, time_spent_read=0.1319999999996071, io_write=8, bytes_write=208896, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=16868, recv_packets=68, recv_errs=0, recv_drop=0, send_bytes=19430, send_packets=93, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=93.41317365269461, nice=0.0, system=6.586826347305389, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=93.41317365269461, nice=0.0, system=6.586826347305389, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=2, bytes_read=24576, time_spent_read=0.1319999999996071, io_write=8, bytes_write=208896, time_spent_write=0.0), 'timestamp': 1546763004.962936, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=9.05, load10=4.11, load15=4.18, running=19, procs=651), 'memory/total': Memory(label='total', total=1501952, used=1022520, buffer_cache=127064, free=352368, map=65104), 'net/ens33': Network(label='ens33', recv_bytes=16868, recv_packets=68, recv_errs=0, recv_drop=0, send_bytes=19430, send_packets=93, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=7, bytes_read=49152, time_spent_read=0.3600000000005821, io_write=10, bytes_write=294912, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=25714, recv_packets=174, recv_errs=0, recv_drop=0, send_bytes=68494, send_packets=209, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=93.812375249501, nice=0.0, system=5.9880239520958085, idle=0.0, iowait=0.0, irq=0.0, softirq=0.1996007984031936), 'cpu/cpu0': CPU(label='cpu0', user=93.812375249501, nice=0.0, system=5.9880239520958085, idle=0.0, iowait=0.0, irq=0.0, softirq=0.1996007984031936), 'disk/sda': Disk(label='sda', io_read=7, bytes_read=49152, time_spent_read=0.3600000000005821, io_write=10, bytes_write=294912, time_spent_write=0.0), 'timestamp': 1546763009.741778, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=7.62, load10=4.22, load15=4.54, running=11, procs=683), 'memory/total': Memory(label='total', total=1501952, used=963524, buffer_cache=144104, free=394324, map=64324), 'net/ens33': Network(label='ens33', recv_bytes=25714, recv_packets=174, recv_errs=0, recv_drop=0, send_bytes=68494, send_packets=209, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=2, bytes_read=24576, time_spent_read=0.12399999999979627, io_write=5, bytes_write=229376, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=40213, recv_packets=121, recv_errs=0, recv_drop=0, send_bytes=25280, send_packets=140, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=94.2, nice=0.0, system=5.8, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=94.2, nice=0.0, system=5.8, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=2, bytes_read=24576, time_spent_read=0.12399999999979627, io_write=5, bytes_write=229376, time_spent_write=0.0), 'timestamp': 1546763009.966601, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=9.61, load10=4.31, load15=4.24, running=19, procs=667), 'memory/total': Memory(label='total', total=1501952, used=1089204, buffer_cache=127288, free=285460, map=65080), 'net/ens33': Network(label='ens33', recv_bytes=40213, recv_packets=121, recv_errs=0, recv_drop=0, send_bytes=25280, send_packets=140, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=47, bytes_read=299008, time_spent_read=0.6199999999989814, io_write=65, bytes_write=794624, time_spent_write=0.012000000002444722), 'net/total': Network(label='ens33', recv_bytes=20948, recv_packets=145, recv_errs=0, recv_drop=0, send_bytes=84409, send_packets=192, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=92.6, nice=0.0, system=6.6, idle=0.0, iowait=0.6, irq=0.0, softirq=0.2), 'cpu/cpu0': CPU(label='cpu0', user=92.6, nice=0.0, system=6.6, idle=0.0, iowait=0.6, irq=0.0, softirq=0.2), 'disk/sda': Disk(label='sda', io_read=47, bytes_read=299008, time_spent_read=0.6199999999989814, io_write=65, bytes_write=794624, time_spent_write=0.012000000002444722), 'timestamp': 1546763014.736639, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=7.49, load10=4.25, load15=4.55, running=3, procs=643), 'memory/total': Memory(label='total', total=1501952, used=785372, buffer_cache=143916, free=572664, map=64144), 'net/ens33': Network(label='ens33', recv_bytes=20948, recv_packets=145, recv_errs=0, recv_drop=0, send_bytes=84409, send_packets=192, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=3, bytes_read=12288, time_spent_read=0.1040000000011787, io_write=5, bytes_write=245760, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=35426, recv_packets=96, recv_errs=0, recv_drop=0, send_bytes=16778, send_packets=107, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=94.81037924151697, nice=0.0, system=4.990019960079841, idle=0.0, iowait=0.0, irq=0.0, softirq=0.1996007984031936), 'cpu/cpu0': CPU(label='cpu0', user=94.81037924151697, nice=0.0, system=4.990019960079841, idle=0.0, iowait=0.0, irq=0.0, softirq=0.1996007984031936), 'disk/sda': Disk(label='sda', io_read=3, bytes_read=12288, time_spent_read=0.1040000000011787, io_write=5, bytes_write=245760, time_spent_write=0.0), 'timestamp': 1546763014.844162, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=10.2, load10=4.52, load15=4.31, running=16, procs=654), 'memory/total': Memory(label='total', total=1501952, used=1075024, buffer_cache=127600, free=299328, map=65044), 'net/ens33': Network(label='ens33', recv_bytes=35426, recv_packets=96, recv_errs=0, recv_drop=0, send_bytes=16778, send_packets=107, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=8, bytes_read=69632, time_spent_read=0.24799999999959255, io_write=9, bytes_write=331776, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=64950, recv_packets=245, recv_errs=0, recv_drop=0, send_bytes=63964, send_packets=340, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=93.46938775510205, nice=0.0, system=6.326530612244898, idle=0.0, iowait=0.0, irq=0.0, softirq=0.20408163265306123), 'cpu/cpu0': CPU(label='cpu0', user=93.46938775510205, nice=0.0, system=6.326530612244898, idle=0.0, iowait=0.0, irq=0.0, softirq=0.20408163265306123), 'disk/sda': Disk(label='sda', io_read=8, bytes_read=69632, time_spent_read=0.24799999999959255, io_write=9, bytes_write=331776, time_spent_write=0.0), 'timestamp': 1546763019.721295, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=10.9, load10=4.76, load15=4.39, running=8, procs=617), 'memory/total': Memory(label='total', total=1501952, used=886508, buffer_cache=127112, free=488332, map=64920), 'net/ens33': Network(label='ens33', recv_bytes=64950, recv_packets=245, recv_errs=0, recv_drop=0, send_bytes=63964, send_packets=340, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=7, bytes_read=32768, time_spent_read=0.14800000000104774, io_write=6, bytes_write=270336, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=41810, recv_packets=246, recv_errs=0, recv_drop=0, send_bytes=97444, send_packets=235, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=7.739307535641548, nice=0.0, system=2.240325865580448, idle=89.0020366598778, iowait=0.814663951120163, irq=0.0, softirq=0.20366598778004075), 'cpu/cpu0': CPU(label='cpu0', user=7.739307535641548, nice=0.0, system=2.240325865580448, idle=89.0020366598778, iowait=0.814663951120163, irq=0.0, softirq=0.20366598778004075), 'disk/sda': Disk(label='sda', io_read=7, bytes_read=32768, time_spent_read=0.14800000000104774, io_write=6, bytes_write=270336, time_spent_write=0.0), 'timestamp': 1546763019.733766, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=6.89, load10=4.18, load15=4.52, running=1, procs=619), 'memory/total': Memory(label='total', total=1501952, used=708804, buffer_cache=143872, free=649276, map=63960), 'net/ens33': Network(label='ens33', recv_bytes=41810, recv_packets=246, recv_errs=0, recv_drop=0, send_bytes=97444, send_packets=235, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=13, bytes_read=90112, time_spent_read=0.30799999999908323, io_write=43, bytes_write=598016, time_spent_write=0.004000000000814907), 'net/total': Network(label='ens33', recv_bytes=387423, recv_packets=371, recv_errs=0, recv_drop=0, send_bytes=37570, send_packets=193, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=35.4251012145749, nice=0.0, system=4.048582995951417, idle=59.51417004048583, iowait=1.0121457489878543, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=35.4251012145749, nice=0.0, system=4.048582995951417, idle=59.51417004048583, iowait=1.0121457489878543, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=13, bytes_read=90112, time_spent_read=0.30799999999908323, io_write=43, bytes_write=598016, time_spent_write=0.004000000000814907), 'timestamp': 1546763024.661397, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=10.19, load10=4.72, load15=4.38, running=2, procs=532), 'memory/total': Memory(label='total', total=1501952, used=599652, buffer_cache=127176, free=775124, map=54168), 'net/ens33': Network(label='ens33', recv_bytes=387423, recv_packets=371, recv_errs=0, recv_drop=0, send_bytes=37570, send_packets=193, send_errs=0, send_drop=0)}
